0	
26.64	0	
26.57	0	
26.57	0	
26.57	0	
26.57	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.22	0	
26.64	0	
26.57	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.64	0	
26.57	0	
26.64	0	
26.43	0	
25.74	0	
25.32	0	
24.69	0	
23.43	0	
22.66	0	
21.89	0	
21.33	0	
20.85	0	
20.36	0	
19.94	0	
19.03	0	
18.96	0	
18.47	0	
18.05	0	
17.98	0	
17.56	0	
17.21	0	
16.44	0	
16.65	0	
16.37	0	
15.68	0	
15.96	0	
15.61	0	
15.33	0	
14.98	0	
14.70	0	
14.56	0	
14.35	0	
14.70	0	
15.40	0	
15.89	0	
16.37	0	
16.37	0	
17.56	0	
17.77	0	
18.40	0	
19.10	0	
19.73	0	
20.50	0	
21.12	0	
21.82	0	
22.52	0	
23.29	0	
24.48	0	
25.25	0	
26.09	0	
26.99	0	
28.18	0	
29.65	0	
30.56	0	
31.32	0	
31.53	0	
31.95	0	
32.16	0	
32.79	0	
33.42	0	
34.05	0	
34.68	0	
35.38	0	
35.87	0	
36.49	0	
37.19	0	
37.89	0	
38.31	0	
38.80	0	
38.87	0	
38.59	0	
38.73	0	
38.73	0	
38.73	0	
38.73	0	
38.73	0	
38.73	0	
38.73	0	
38.73	0	
38.73	0	
38.73	0	
39.22	0	
41.59	0	
47.60	0	
41.73	0	
42.71	0	
42.64	0	
81.49	0	
4.64	0	
81.56	0	
81.56	0	
4.57	0	
81.49	0	
81.49	0	
81.49	0	
81.49	0	
81.49	0	
81.56	0	
81.56	0	
81.49	0	
71.29	0	
41.38	0	
5.41	0	
38.80	0	
39.78	0	
40.69	0	
6.03	0	
38.80	0	
39.85	0	
38.80	0	
40.27	0	
38.87	0	
38.80	0	
38.80	0	
38.87	0	
38.87	0	
38.87	0	
38.80	0	
38.80	0	
38.80	0	
38.66	0	
38.66	0	
38.73	0	
38.66	0	
38.66	0	
38.66	0	
38.66	0	
38.66	0	
38.66	0	
38.66	0	
38.66	0	
38.66	0	
38.66	0	
38.59	0	
38.45	0	
38.66	0	
38.66	0	
38.24	0	
38.66	0	
38.66	0	
38.66	0	
38.66	0	
38.66	0	
38.66	0	
38.66	0	
38.66	0	
38.59	0	
38.52	0	
38.66	0	
38.10	0	
38.45	0	
38.17	0	
37.19	0	
36.98	0	
37.54	0	
37.54	0	
37.12	0	
37.54	0	
37.54	0	
37.54	0	
37.61	0	
37.54	0	
37.54	0	
37.19	0	
37.12	0	
37.54	0	
37.54	0	
37.33	0	
36.98	0	
37.40	0	
37.61	0	
37.54	0	
37.61	0	
37.61	0	
37.54	0	
37.12	0	
37.05	0	
37.54	0	
37.05	0	
37.47	0	
37.40	0	
37.33	0	
37.26	0	
37.26	0	
37.33	0	
36.98	0	
37.05	0	
37.12	0	
37.19	0	
37.19	0	
37.54	0	
37.19	0	
37.54	0	
37.12	0	
37.12	0	
37.54	0	
37.54	0	
37.54	0	
37.61	0	
37.54	0	
37.54	0	
37.61	0	
37.12	0	
37.54	0	
37.61	0	
37.54	0	
37.54	0	
37.68	0	
37.19	0	
37.61	0	
37.12	0	
37.12	0	
37.12	0	
37.12	0	
37.12	0	
37.12	0	
36.98	0	
37.54	0	
37.54	0	
37.54	0	
37.54	0	
37.12	0	
37.54	0	
37.54	0	
37.54	0	
37.54	0	
37.54	0	
37.61	0	
37.54	0	
37.54	0	
37.61	0	
37.54	0	
37.54	0	
37.54	0	
37.61	0	
37.54	0	
37.54	0	
37.61	0	
37.54	0	
37.54	0	
37.54	0	
37.61	0	
37.12	0	
37.54	
