15.35	
30.35	15.35	
30.84	15.84	
30.77	15.77	
30.28	15.28	
30.28	15.28	
30.35	15.35	
30.35	15.35	
30.84	15.84	
30.35	15.35	
30.84	15.84	
30.28	15.28	
30.28	15.28	
30.35	15.35	
30.35	15.35	
30.84	15.84	
30.84	15.84	
30.35	15.35	
31.32	16.32	
30.70	15.70	
30.49	15.49	
30.84	15.84	
30.42	15.42	
30.35	15.35	
30.42	15.42	
30.42	15.42	
30.35	15.35	
30.42	15.42	
30.77	15.77	
30.21	15.21	
29.44	14.44	
28.81	13.81	
27.27	12.27	
26.02	11.02	
25.18	10.18	
24.69	9.69	
25.25	10.25	
24.76	9.76	
24.69	9.69	
24.69	9.69	
24.76	9.76	
24.76	9.76	
24.76	9.76	
24.69	9.69	
24.69	9.69	
24.76	9.76	
24.76	9.76	
24.76	9.76	
24.76	9.76	
24.76	9.76	
24.69	9.69	
24.76	9.76	
24.76	9.76	
24.76	9.76	
24.83	9.83	
24.76	9.76	
25.32	10.32	
25.32	10.32	
24.90	9.90	
24.76	9.76	
24.69	9.69	
24.76	9.76	
24.76	9.76	
25.25	10.25	
25.25	10.25	
24.97	9.97	
28.46	13.46	
29.09	14.09	
23.99	8.99	
23.08	8.08	
23.22	8.22	
23.15	8.15	
23.22	8.22	
23.15	8.15	
23.08	8.08	
22.66	7.66	
21.89	6.89	
20.29	5.29	
19.38	4.38	
18.47	3.47	
18.54	3.54	
18.61	3.61	
18.54	3.54	
18.54	3.54	
18.47	3.47	
18.19	3.19	
18.82	3.82	
19.45	4.45	
20.43	5.43	
21.54	6.54	
22.80	7.80	
24.62	9.62	
26.29	11.29	
28.11	13.11	
29.51	14.51	
30.84	15.84	
31.81	16.81	
32.23	17.23	
31.67	16.67	
32.09	17.09	
31.67	16.67	
31.74	16.74	
30.84	15.84	
29.93	14.93	
29.30	14.30	
30.00	15.00	
29.51	14.51	
29.86	14.86	
29.86	14.86	
29.86	14.86	
29.23	14.23	
28.67	13.67	
28.04	13.04	
28.67	13.67	
28.67	13.67	
28.67	13.67	
28.67	13.67	
28.67	13.67	
28.53	13.53	
29.02	14.02	
28.60	13.60	
28.53	13.53	
28.53	13.53	
27.69	12.69	
27.90	12.90	
27.76	12.76	
26.99	11.99	
26.85	11.85	
26.36	11.36	
26.85	11.85	
25.81	10.81	
25.60	10.60	
25.67	10.67	
25.60	10.60	
25.04	10.04	
25.25	10.25	
25.25	10.25	
25.25	10.25	
24.69	9.69	
24.83	9.83	
24.90	9.90	
24.90	9.90	
24.90	9.90	
24.90	9.90	
24.90	9.90	
24.90	9.90	
24.90	9.90	
24.48	9.48	
24.97	9.97	
24.97	9.97	
24.97	9.97	
24.48	9.48	
25.04	10.04	
25.04	10.04	
25.53	10.53	
24.76	9.76	
24.20	9.20	
24.20	9.20	
24.76	9.76	
24.76	9.76	
24.76	9.76	
24.69	9.69	
24.69	9.69	
24.76	9.76	
24.76	9.76	
24.76	9.76	
24.27	9.27	
24.76	9.76	
24.76	9.76	
24.27	9.27	
24.27	9.27	
24.69	9.69	
24.27	9.27	
24.69	9.69	
24.27	9.27	
24.27	9.27	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.13	9.13	
24.62	9.62	
24.62	9.62	
24.06	9.06	
24.48	9.48	
24.48	9.48	
24.55	9.55	
24.62	9.62	
24.20	9.20	
24.20	9.20	
24.69	9.69	
24.20	9.20	
24.69	9.69	
24.69	9.69	
24.20	9.20	
24.27	9.27	
24.27	9.27	
24.27	9.27	
24.27	9.27	
24.69	9.69	
24.69	9.69	
24.76	9.76	
24.62	9.62	
24.62	9.62	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.20	9.20	
24.55	9.55	
24.13	9.13	
25.11	10.11	
24.62	9.62	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.62	9.62	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.20	9.20	
24.76	9.76	
24.69	9.69	
24.20	9.20	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.20	9.20	
24.27	9.27	
24.27	9.27	
24.20	9.20	
24.69	9.69	
24.69	9.69	
24.62	9.62	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.27	9.27	
24.76	9.76	
24.69	9.69	
24.62	9.62	
24.20	9.20	
24.20	9.20	
24.20	9.20	
24.27	9.27	
24.27	9.27	
24.69	9.69	
24.62	9.62	
24.27	9.27	
24.69	9.69	
24.27	9.27	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.62	9.62	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.62	9.62	
24.69	9.69	
24.69	9.69	
24.69	9.69	
24.27	9.27	
24.76	9.76	
24.97	9.97	
24.90	9.90	
24.48	9.48	
24.90	9.90	
24.41	9.41	
24.41	9.41	
24.41	9.41	
24.41	9.41	
24.83	9.83	
24.83	9.83	
24.97	9.97	
24.48	9.48	
24.97	9.97	
24.97	9.97	
24.48	9.48	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.41	9.41	
24.90	9.90	
24.41	9.41	
24.41	9.41	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.41	9.41	
24.90	9.90	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.90	9.90	
24.90	9.90	
24.90	9.90	
24.90	9.90	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.41	9.41	
24.41	9.41	
24.90	9.90	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.90	9.90	
24.90	9.90	
24.83	9.83	
24.90	9.90	
24.90	9.90	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.83	9.83	
24.83	9.83	
24.83	9.83	
24.90	9.90	
24.90	
